phase,mode,n,block_size,cpu_ms,gpu_ms,speedup
1,STANDARD,10000,32,8168.58,402.78,20.28
1,STANDARD,10000,64,8159.31,372.93,21.88
1,STANDARD,10000,128,8172.74,366.43,22.30
1,STANDARD,10000,256,8162.69,380.36,21.46
1,STANDARD,10000,512,8167.95,571.13,14.30
1,STANDARD,10000,1024,8161.57,731.83,11.15
