phase,mode,n,block_size,cpu_ms,gpu_ms,speedup
3,MINI-BATCH,1000,256,795.72,127.83,6.22
3,MINI-BATCH,10000,256,8049.27,280.53,28.69
3,MINI-BATCH,50000,256,40692.82,228.06,178.43
3,MINI-BATCH,100000,256,81682.84,289.26,282.38
3,MINI-BATCH,1000000,256,795742.75,2807.37,283.45
